Unnamed: 0,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand.1,period,exponential period,degree,period_nonlinear,actual first rem,Qval
"(218, 3)",20.0,0.5,0.0,3,1.0,8.0,5.0,9.0,0.165298888222,0.0,0.165298888222,1.0,16.5298888222
"(218, 4)",20.0,1.0,0.0,3,1.0,8.0,5.0,9.0,0.165298888222,0.0,0.165298888222,1.0,13.533528323699999
"(219, 0)",20.0,0.5,2.0,0,0.0,8.0,5.0,9.0,0.165298888222,0.0,0.165298888222,2.0,33.059777644299999
"(219, 1)",20.0,1.5,2.0,0,0.0,8.0,5.0,10.0,0.135335283237,0.0,0.135335283237,2.0,27.067056647299999
"(219, 3)",40.0,0.5,0.0,3,2.0,8.0,5.0,9.0,0.165298888222,0.0,0.165298888222,2.0,33.059777644299999
"(219, 4)",40.0,1.0,0.0,3,2.0,8.0,5.0,9.0,0.165298888222,0.0,0.165298888222,2.0,27.067056647299999
"(222, 4)",40.0,1.0,0.0,3,4.0,6.5,5.0,8.0,0.201896517995,0.0,0.201896517995,4.0,80.758607197900005
"(222, 5)",20.0,3.0,4.0,0,0.0,6.5,5.0,10.0,0.135335283237,0.0,0.135335283237,4.0,54.134113294599999
"(222, 6)",20.0,1.0,4.0,0,0.0,6.5,5.0,8.0,0.201896517995,0.0,0.201896517995,4.0,80.758607197900005
"(224, 1)",50.0,1.5,0.0,3,5.0,5.0,5.0,7.0,0.246596963942,0.0,0.246596963942,5.0,100.94825899700001
"(224, 4)",50.0,1.0,0.0,3,5.0,5.0,5.0,6.0,0.301194211912,0.0,0.301194211912,5.0,123.298481971
"(224, 5)",25.0,3.0,5.0,0,0.0,5.0,5.0,8.0,0.201896517995,0.0,0.201896517995,5.0,100.94825899700001
"(224, 6)",25.0,1.0,5.0,0,0.0,5.0,5.0,6.0,0.301194211912,0.0,0.301194211912,5.0,150.59710595600001
"(225, 4)",50.0,1.0,0.0,3,5.0,6.5,5.0,8.0,0.201896517995,0.0,0.201896517995,5.0,100.94825899700001
"(225, 5)",25.0,3.0,5.0,0,0.0,6.5,5.0,10.0,0.135335283237,0.0,0.135335283237,5.0,67.667641618299996
"(225, 6)",25.0,1.0,5.0,0,0.0,6.5,5.0,8.0,0.201896517995,0.0,0.201896517995,5.0,100.94825899700001
"(228, 0)",10.0,0.5,1.0,0,0.0,9.0,5.0,10.0,0.135335283237,0.0,0.135335283237,1.0,13.533528323699999
"(228, 1)",10.0,1.5,1.0,0,0.0,9.0,5.0,11.0,0.110803158362,0.0,0.110803158362,1.0,11.080315836199999
"(228, 3)",20.0,0.5,0.0,3,1.0,9.0,5.0,10.0,0.135335283237,0.0,0.135335283237,1.0,13.533528323699999
"(229, 1)",10.0,1.5,0.0,3,1.0,5.5,5.0,7.0,0.246596963942,0.0,0.246596963942,1.0,20.189651799500002
"(229, 3)",10.0,0.5,0.0,3,1.0,5.5,5.0,6.0,0.301194211912,0.0,0.301194211912,1.0,24.659696394200001
"(229, 5)",5.0,3.0,1.0,0,0.0,5.5,5.0,9.0,0.165298888222,0.0,0.165298888222,1.0,16.5298888222
"(229, 6)",5.0,1.0,1.0,0,0.0,5.5,5.0,7.0,0.246596963942,0.0,0.246596963942,1.0,24.659696394200001
"(232, 1)",20.0,1.5,0.0,3,2.0,5.0,5.0,7.0,0.246596963942,0.0,0.246596963942,2.0,40.379303598900002
"(232, 4)",20.0,1.0,0.0,3,2.0,5.0,5.0,6.0,0.301194211912,0.0,0.301194211912,2.0,49.3193927883
"(232, 5)",10.0,3.0,2.0,0,0.0,5.0,5.0,8.0,0.201896517995,0.0,0.201896517995,2.0,40.379303598900002
"(232, 6)",10.0,1.0,2.0,0,0.0,5.0,5.0,6.0,0.301194211912,0.0,0.301194211912,2.0,60.238842382399994
"(238, 1)",30.0,1.5,0.0,3,3.0,6.0,5.0,8.0,0.201896517995,0.0,0.201896517995,3.0,49.589666466499999
"(238, 5)",15.0,3.0,3.0,0,0.0,6.0,5.0,9.0,0.165298888222,0.0,0.165298888222,3.0,49.589666466499999
"(238, 6)",15.0,1.0,3.0,0,0.0,6.0,5.0,7.0,0.246596963942,0.0,0.246596963942,3.0,73.979089182500005
"(239, 1)",0.0,1.5,0.0,3,3.0,7.5,5.0,9.0,0.165298888222,0.0,0.165298888222,3.0,40.600584970999996
"(239, 3)",30.0,0.5,3.0,0,0.0,7.5,5.0,8.0,0.201896517995,0.75,0.201896517995,3.0,60.5689553984
"(239, 4)",30.0,1.0,1.0,0,0.0,7.5,5.0,9.0,0.165298888222,0.75,0.165298888222,1.0,49.589666466499999
"(239, 6)",30.0,1.0,2.0,0,0.0,7.5,5.0,9.0,0.165298888222,0.75,0.165298888222,2.0,49.589666466499999
"(248, 0)",20.0,0.5,2.0,0,0.0,9.0,5.0,10.0,0.135335283237,0.0,0.135335283237,2.0,27.067056647299999
"(248, 1)",20.0,1.5,2.0,0,0.0,9.0,5.0,11.0,0.110803158362,0.0,0.110803158362,2.0,22.160631672499999
"(248, 3)",40.0,0.5,0.0,3,2.0,9.0,5.0,10.0,0.135335283237,0.0,0.135335283237,2.0,27.067056647299999
"(252, 1)",16.5,1.5,3.0,3,1.0,1.0,2.0,3.0,0.548811636094,1.0,0.548811636094,4.0,160.66418394900001
"(252, 2)",16.5,4.0,3.0,3,1.0,1.0,2.0,5.0,0.367879441171,1.0,0.367879441171,4.0,107.696423181
"(252, 4)",16.5,1.0,2.0,0,0.0,1.0,2.0,2.0,0.670320046036,1.0,0.670320046036,2.0,196.23567741299999
"(252, 5)",9.0,3.0,2.0,0,0.0,1.0,2.0,4.0,0.449328964117,1.0,0.449328964117,2.0,134.79868923500001
"(252, 6)",7.5,1.0,0.0,3,3.0,1.0,2.0,2.0,0.670320046036,0.0,0.670320046036,3.0,164.64349082799998
"(255, 3)",27.0,0.5,2.0,0,0.0,6.0,3.0,7.0,0.246596963942,0.75,0.246596963942,2.0,72.494280934200006
"(255, 4)",27.0,1.0,2.0,3,1.0,6.0,3.0,7.0,0.246596963942,0.75,0.246596963942,3.0,69.062040128299998
"(255, 5)",0.0,3.0,0.0,3,3.0,6.0,3.0,9.0,0.165298888222,0.0,0.165298888222,3.0,40.600584970999996
"(255, 6)",27.0,1.0,4.0,0,0.0,6.0,3.0,7.0,0.246596963942,0.75,0.246596963942,4.0,73.979089182500005
"(257, 1)",50.0,1.5,0.0,3,5.0,6.0,5.0,8.0,0.201896517995,0.0,0.201896517995,5.0,100.94825899700001
"(257, 5)",25.0,3.0,5.0,0,0.0,6.0,5.0,9.0,0.165298888222,0.0,0.165298888222,5.0,82.649444110800005
"(257, 6)",25.0,1.0,5.0,0,0.0,6.0,5.0,7.0,0.246596963942,0.0,0.246596963942,5.0,123.298481971
"(264, 4)",10.0,1.0,0.0,3,1.0,6.5,5.0,8.0,0.201896517995,0.0,0.201896517995,1.0,16.5298888222
"(264, 5)",5.0,3.0,1.0,0,0.0,6.5,5.0,10.0,0.135335283237,0.0,0.135335283237,1.0,13.533528323699999
"(264, 6)",5.0,1.0,1.0,0,0.0,6.5,5.0,8.0,0.201896517995,0.0,0.201896517995,1.0,20.189651799500002
"(267, 1)",20.0,1.5,0.0,3,2.0,2.0,5.0,4.0,0.449328964117,0.0,0.449328964117,2.0,73.57588823430001
"(267, 2)",20.0,4.0,0.0,3,2.0,2.0,5.0,6.0,0.301194211912,0.0,0.301194211912,2.0,49.3193927883
"(267, 5)",10.0,3.0,2.0,0,0.0,2.0,5.0,5.0,0.367879441171,0.0,0.367879441171,2.0,73.57588823430001
"(267, 6)",10.0,1.0,2.0,0,0.0,2.0,5.0,3.0,0.548811636094,0.0,0.548811636094,2.0,109.762327219
"(269, 0)",10.0,0.5,0.0,3,1.0,7.0,5.0,8.0,0.201896517995,0.0,0.201896517995,1.0,20.189651799500002
"(269, 3)",10.0,0.5,0.0,3,1.0,7.0,5.0,8.0,0.201896517995,0.0,0.201896517995,1.0,20.189651799500002
"(269, 5)",5.0,3.0,1.0,0,0.0,7.0,5.0,10.0,0.135335283237,0.0,0.135335283237,1.0,13.533528323699999
"(269, 6)",5.0,1.0,1.0,0,0.0,7.0,5.0,8.0,0.201896517995,0.0,0.201896517995,1.0,20.189651799500002
"(273, 4)",20.0,1.0,0.0,3,2.0,6.5,5.0,8.0,0.201896517995,0.0,0.201896517995,2.0,33.059777644299999
"(273, 5)",10.0,3.0,2.0,0,0.0,6.5,5.0,10.0,0.135335283237,0.0,0.135335283237,2.0,27.067056647299999
"(273, 6)",10.0,1.0,2.0,0,0.0,6.5,5.0,8.0,0.201896517995,0.0,0.201896517995,2.0,40.379303598900002
"(274, 5)",10.0,3.0,2.0,0,0.0,7.5,5.0,11.0,0.110803158362,0.0,0.110803158362,2.0,22.160631672499999
"(274, 6)",10.0,1.0,2.0,0,0.0,7.5,5.0,9.0,0.165298888222,0.0,0.165298888222,2.0,33.059777644299999
"(277, 1)",24.0,1.5,3.0,0,0.0,2.0,2.0,4.0,0.449328964117,1.0,0.449328964117,3.0,134.79868923500001
"(277, 2)",24.0,4.0,3.0,0,0.0,2.0,2.0,6.0,0.301194211912,1.0,0.301194211912,3.0,90.358263573700015
"(277, 4)",24.0,1.0,2.0,0,0.0,2.0,2.0,3.0,0.548811636094,1.0,0.548811636094,2.0,164.64349082799998
"(277, 5)",24.0,3.0,4.0,0,0.0,2.0,2.0,5.0,0.367879441171,1.0,0.367879441171,4.0,110.363832351
"(280, 0)",0.0,0.5,0.0,3,3.0,1.0,1.0,2.0,0.670320046036,0.75,0.670320046036,3.0,180.71652714699999
"(280, 1)",22.0,1.5,4.0,0,0.0,1.0,1.0,3.0,0.548811636094,1.0,0.548811636094,4.0,164.64349082799998
"(280, 3)",0.0,0.5,0.0,3,3.0,1.0,1.0,2.0,0.670320046036,0.75,0.670320046036,3.0,180.71652714699999
"(280, 4)",22.0,1.0,2.0,0,0.0,1.0,1.0,2.0,0.670320046036,1.0,0.670320046036,2.0,199.88092971099999
"(280, 5)",22.0,3.0,3.0,0,0.0,1.0,1.0,4.0,0.449328964117,1.0,0.449328964117,3.0,133.984194006
"(281, 0)",5.0,0.5,0.0,3,3.0,1.5,1.0,2.0,0.670320046036,0.0,0.670320046036,3.0,164.64349082799998
"(281, 1)",17.0,1.5,3.0,0,0.0,1.5,1.0,3.0,0.548811636094,1.0,0.548811636094,3.0,164.64349082799998
"(281, 2)",22.0,4.0,3.0,0,0.0,1.5,1.0,6.0,0.301194211912,1.0,0.301194211912,3.0,180.71652714699999
"(281, 3)",5.0,0.5,0.0,3,3.0,1.5,1.0,2.0,0.670320046036,0.0,0.670320046036,3.0,164.64349082799998
"(281, 4)",22.0,1.0,2.0,0,0.0,1.5,1.0,3.0,0.548811636094,1.0,0.548811636094,2.0,164.64349082799998
"(281, 5)",22.0,3.0,4.0,0,0.0,1.5,1.0,5.0,0.367879441171,1.0,0.367879441171,4.0,110.363832351
"(284, 0)",20.0,0.5,0.0,3,2.0,7.0,5.0,8.0,0.201896517995,0.0,0.201896517995,2.0,40.379303598900002
"(284, 3)",20.0,0.5,0.0,3,2.0,7.0,5.0,8.0,0.201896517995,0.0,0.201896517995,2.0,40.379303598900002
"(284, 5)",10.0,3.0,2.0,0,0.0,7.0,5.0,10.0,0.135335283237,0.0,0.135335283237,2.0,27.067056647299999
"(284, 6)",10.0,1.0,2.0,0,0.0,7.0,5.0,8.0,0.201896517995,0.0,0.201896517995,2.0,40.379303598900002
"(285, 0)",15.0,0.5,0.0,3,3.0,3.0,4.0,4.0,0.449328964117,0.75,0.449328964117,3.0,134.79868923500001
"(285, 1)",0.0,1.5,0.0,3,3.0,3.0,4.0,5.0,0.367879441171,0.0,0.367879441171,3.0,90.358263573700015
