,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,IG_1
"(128, 1)",1,3.0,3,3.0,6,4.0,0.818730753078,0.670320046036,3.0
"(128, 2)",1,10.5,3,3.0,6,4.0,0.818730753078,0.670320046036,3.0
"(128, 4)",1,10.5,1,3.0,4,4.0,0.818730753078,0.818730753078,3.0
"(128, 5)",1,10.5,3,3.0,6,4.0,0.818730753078,0.670320046036,3.0
"(130, 1)",1,0.0,3,3.0,10,2.0,0.670320046036,0.670320046036,0.0
"(130, 3)",1,24.0,2,3.0,9,2.0,0.818730753078,0.670320046036,3.0
"(130, 4)",1,24.0,1,3.0,8,2.0,0.818730753078,0.670320046036,3.0
"(130, 6)",1,24.0,1,3.0,8,2.0,0.670320046036,0.670320046036,3.0
"(133, 3)",1,21.0,2,3.0,9,3.0,0.818730753078,0.670320046036,3.0
"(133, 4)",1,21.0,1,3.0,8,3.0,0.670320046036,0.670320046036,3.0
"(133, 5)",1,0.0,3,3.0,10,3.0,0.670320046036,0.670320046036,0.0
"(133, 6)",1,21.0,1,3.0,8,3.0,0.670320046036,0.670320046036,3.0
"(136, 1)",1,0.0,3,3.0,7,4.0,0.818730753078,0.670320046036,0.0
"(136, 2)",1,0.0,3,3.0,7,4.0,0.818730753078,0.670320046036,0.0
"(136, 3)",1,10.5,2,3.0,6,4.0,0.818730753078,0.670320046036,3.0
"(136, 4)",1,10.5,1,3.0,5,4.0,0.818730753078,0.818730753078,3.0
"(136, 6)",1,10.5,1,3.0,5,4.0,0.818730753078,0.818730753078,3.0
"(137, 1)",1,0.0,3,3.0,10,4.0,0.818730753078,0.670320046036,0.0
"(137, 3)",1,18.0,2,3.0,9,4.0,0.818730753078,0.670320046036,3.0
"(137, 4)",1,18.0,1,3.0,8,4.0,0.670320046036,0.670320046036,3.0
"(137, 6)",1,18.0,1,3.0,8,4.0,0.670320046036,0.670320046036,3.0
"(140, 1)",1,20.0,3,2.0,10,5.0,0.818730753078,0.670320046036,0.0
"(140, 5)",1,10.0,3,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(140, 6)",1,10.0,1,2.0,8,5.0,0.670320046036,0.670320046036,0.0
"(142, 3)",1,50.0,2,5.0,10,5.0,0.818730753078,0.670320046036,0.0
"(142, 5)",1,25.0,3,5.0,11,5.0,0.818730753078,0.548811636094,0.0
"(142, 6)",1,25.0,1,5.0,9,5.0,0.670320046036,0.670320046036,0.0
"(144, 4)",1,30.0,1,3.0,10,5.0,0.670320046036,0.670320046036,0.0
"(144, 5)",1,15.0,3,3.0,12,5.0,0.670320046036,0.548811636094,0.0
"(144, 6)",1,15.0,1,3.0,10,5.0,0.818730753078,0.670320046036,0.0
"(146, 4)",1,10.0,1,1.0,10,5.0,0.670320046036,0.670320046036,0.0
"(146, 5)",1,5.0,3,1.0,12,5.0,0.670320046036,0.548811636094,0.0
"(146, 6)",1,5.0,1,1.0,10,5.0,0.670320046036,0.670320046036,0.0
"(150, 0)",1,0.0,1,3.0,2,1.0,0.818730753078,0.818730753078,0.0
"(150, 1)",1,17.0,3,3.0,4,1.0,0.818730753078,0.818730753078,3.0
"(150, 3)",1,0.0,2,3.0,3,1.0,0.818730753078,0.818730753078,0.0
"(150, 4)",1,17.0,1,3.0,2,1.0,0.818730753078,0.818730753078,3.0
"(150, 5)",1,17.0,3,3.0,4,1.0,0.818730753078,0.818730753078,3.0
"(151, 0)",1,7.5,1,3.0,4,1.0,0.818730753078,0.818730753078,0.0
"(151, 1)",1,12.0,3,3.0,6,1.0,0.818730753078,0.670320046036,3.0
"(151, 2)",1,19.5,3,3.0,6,1.0,0.818730753078,0.670320046036,3.0
"(151, 4)",1,19.5,1,3.0,4,1.0,0.818730753078,0.818730753078,3.0
"(151, 5)",1,19.5,3,3.0,6,1.0,0.818730753078,0.670320046036,3.0
"(154, 1)",1,2.5,3,1.0,9,5.0,0.670320046036,0.670320046036,0.0
"(154, 2)",1,2.5,3,1.0,9,5.0,0.670320046036,0.670320046036,0.0
"(154, 3)",1,2.5,2,1.0,8,5.0,0.818730753078,0.670320046036,0.0
"(156, 0)",1,5.0,1,1.0,5,5.0,0.818730753078,0.818730753078,0.0
"(156, 2)",1,5.0,3,1.0,7,5.0,0.818730753078,0.670320046036,0.0
"(156, 3)",1,5.0,2,1.0,6,5.0,0.818730753078,0.670320046036,0.0
"(156, 5)",1,5.0,3,1.0,7,5.0,0.818730753078,0.670320046036,0.0
"(156, 6)",1,5.0,1,1.0,5,5.0,0.818730753078,0.818730753078,0.0
"(157, 0)",1,10.0,1,1.0,7,5.0,0.818730753078,0.670320046036,0.0
"(157, 2)",1,10.0,3,1.0,9,5.0,0.670320046036,0.670320046036,0.0
"(157, 5)",1,5.0,3,1.0,9,5.0,0.670320046036,0.670320046036,0.0
"(157, 6)",1,5.0,1,1.0,7,5.0,0.818730753078,0.670320046036,0.0
"(159, 1)",1,20.0,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(159, 3)",1,20.0,2,2.0,7,5.0,0.818730753078,0.670320046036,0.0
"(159, 5)",1,10.0,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(159, 6)",1,10.0,1,2.0,6,5.0,0.818730753078,0.670320046036,0.0
"(164, 3)",1,18.0,2,3.0,12,4.0,0.818730753078,0.548811636094,3.0
"(164, 4)",1,18.0,1,3.0,11,4.0,0.670320046036,0.548811636094,3.0
"(164, 6)",1,18.0,1,3.0,11,4.0,0.670320046036,0.548811636094,3.0
"(166, 0)",1,0.0,1,3.0,2,3.0,0.818730753078,0.818730753078,0.0
"(166, 1)",1,11.0,3,3.0,4,3.0,0.818730753078,0.818730753078,3.0
"(166, 3)",1,0.0,2,3.0,3,3.0,0.818730753078,0.818730753078,0.0
"(166, 4)",1,11.0,1,3.0,2,3.0,0.818730753078,0.818730753078,3.0
"(166, 5)",1,11.0,3,3.0,4,3.0,0.818730753078,0.818730753078,3.0
"(167, 0)",1,1.66666666667,1,2.0,3,5.0,0.818730753078,0.818730753078,0.0
"(167, 1)",1,1.66666666667,3,2.0,5,5.0,0.818730753078,0.818730753078,0.0
"(167, 2)",1,3.33333333333,3,2.0,5,5.0,0.818730753078,0.818730753078,0.0
"(167, 3)",1,3.33333333333,2,2.0,4,5.0,0.818730753078,0.818730753078,0.0
"(167, 5)",1,3.33333333333,3,2.0,5,5.0,0.818730753078,0.818730753078,0.0
"(168, 1)",1,5.0,3,2.0,6,5.0,0.818730753078,0.670320046036,0.0
"(168, 2)",1,5.0,3,2.0,6,5.0,0.818730753078,0.670320046036,0.0
"(168, 3)",1,5.0,2,2.0,5,5.0,0.818730753078,0.818730753078,0.0
"(168, 5)",1,10.0,3,2.0,6,5.0,0.818730753078,0.670320046036,0.0
"(177, 0)",1,0.0,1,3.0,4,2.0,0.818730753078,0.818730753078,0.0
"(177, 2)",1,0.0,3,3.0,6,2.0,0.818730753078,0.670320046036,0.0
"(177, 4)",1,24.0,1,3.0,4,2.0,0.818730753078,0.818730753078,3.0
"(177, 5)",1,0.0,3,3.0,6,2.0,0.818730753078,0.670320046036,0.0
"(177, 6)",1,24.0,1,3.0,4,2.0,0.818730753078,0.818730753078,3.0
"(178, 0)",1,0.0,1,3.0,7,2.0,0.670320046036,0.670320046036,0.0
"(178, 2)",1,0.0,3,3.0,9,2.0,0.818730753078,0.670320046036,0.0
"(178, 4)",1,24.0,1,3.0,7,2.0,0.818730753078,0.670320046036,3.0
"(178, 6)",1,24.0,1,3.0,7,2.0,0.670320046036,0.670320046036,3.0
"(180, 0)",1,10.0,1,2.0,6,5.0,0.818730753078,0.670320046036,0.0
"(180, 1)",1,10.0,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(180, 3)",1,20.0,2,2.0,7,5.0,0.818730753078,0.670320046036,0.0
"(180, 5)",1,20.0,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(181, 0)",1,10.0,1,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(181, 1)",1,10.0,3,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(181, 5)",1,20.0,3,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(183, 3)",1,40.0,2,4.0,10,5.0,0.670320046036,0.670320046036,0.0
"(183, 5)",1,20.0,3,4.0,11,5.0,0.818730753078,0.548811636094,0.0
"(183, 6)",1,20.0,1,4.0,9,5.0,0.818730753078,0.670320046036,0.0
