,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(143, 6)",25.0,1,5.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(145, 5)",10.0,3,2.0,0,0.0,10,5.0,1.0,0.818730753078,0.0
"(145, 6)",10.0,1,2.0,0,0.0,10,5.0,5.0,0.367879441171,0.0
"(149, 2)",0.0,3,0.0,3,3.0,4,2.0,1.0,0.818730753078,0.0
"(149, 3)",24.0,2,3.0,0,0.0,4,2.0,2.0,0.670320046036,0.75
"(149, 4)",24.0,1,3.0,0,0.0,4,2.0,1.0,0.818730753078,0.75
"(149, 5)",0.0,3,0.0,3,3.0,4,2.0,2.0,0.670320046036,0.0
"(149, 6)",24.0,1,3.0,0,0.0,4,2.0,1.0,0.818730753078,0.75
"(153, 5)",25.0,3,5.0,0,0.0,10,5.0,5.0,0.367879441171,0.0
"(153, 6)",25.0,1,5.0,0,0.0,10,5.0,1.0,0.818730753078,0.0
"(155, 0)",10.0,1,2.0,0,0.0,10,5.0,5.0,0.367879441171,0.0
"(155, 1)",10.0,3,2.0,0,0.0,10,5.0,1.0,0.818730753078,0.0
"(160, 0)",0.0,1,0.0,3,3.0,1,2.0,1.0,0.818730753078,0.75
"(160, 1)",14.0,3,3.0,0,0.0,1,2.0,1.0,0.818730753078,1.0
"(160, 3)",0.0,2,0.0,3,3.0,1,2.0,1.0,0.818730753078,0.75
"(160, 4)",14.0,1,3.0,0,0.0,1,2.0,1.0,0.818730753078,1.0
"(160, 5)",14.0,3,3.0,0,0.0,1,2.0,1.0,0.818730753078,1.0
"(161, 0)",7.5,1,0.0,3,3.0,3,2.0,1.0,0.818730753078,0.0
"(161, 1)",9.0,3,4.0,0,0.0,3,2.0,1.0,0.818730753078,1.0
"(161, 2)",16.5,3,3.0,3,2.0,3,2.0,1.0,0.818730753078,1.0
"(161, 4)",16.5,1,3.0,0,0.0,3,2.0,2.0,0.670320046036,1.0
"(161, 5)",16.5,3,3.0,0,0.0,3,2.0,1.0,0.818730753078,1.0
"(163, 0)",3.33333333333,1,0.0,3,4.0,2,5.0,1.0,0.818730753078,0.75
"(163, 1)",3.33333333333,3,4.0,0,0.0,2,5.0,1.0,0.818730753078,0.0
"(163, 2)",6.66666666667,3,0.0,3,4.0,2,5.0,1.0,0.818730753078,0.75
"(163, 3)",6.66666666667,2,0.0,3,4.0,2,5.0,1.0,0.818730753078,0.75
"(163, 5)",6.66666666667,3,0.0,3,4.0,2,5.0,1.0,0.818730753078,0.0
"(165, 2)",0.0,3,0.0,3,3.0,7,5.0,1.0,0.818730753078,0.0
"(165, 3)",15.0,2,3.0,0,0.0,7,5.0,4.0,0.449328964117,0.75
"(165, 4)",15.0,1,1.0,0,0.0,7,5.0,1.0,0.818730753078,0.75
"(165, 6)",15.0,1,4.0,0,0.0,7,5.0,1.0,0.818730753078,0.75
"(169, 0)",15.0,1,3.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(169, 1)",15.0,3,3.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(169, 5)",30.0,3,0.0,3,3.0,7,5.0,1.0,0.818730753078,0.0
