,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1
"(240, 1)",1,40.0,1.5,4.0,10.5,5.0,0.818730753078,0.110803158362,4.0,2.0,20.0,0.0
"(240, 3)",1,80.0,0.5,4.0,9.5,5.0,0.165298888222,0.135335283237,4.0,2.0,40.0,0.0
"(241, 0)",1,40.0,0.5,4.0,10.0,5.0,0.135335283237,0.135335283237,4.0,2.0,20.0,0.0
"(241, 1)",1,40.0,1.5,4.0,11.0,5.0,0.135335283237,0.110803158362,4.0,2.0,20.0,0.0
"(243, 0)",1,30.0,0.5,3.0,9.0,5.0,0.165298888222,0.165298888222,4.0,2.0,15.0,0.0
"(243, 1)",1,30.0,1.5,3.0,10.0,5.0,0.818730753078,0.135335283237,4.0,2.0,15.0,0.0
"(243, 4)",1,60.0,1.0,3.0,9.5,5.0,0.818730753078,0.135335283237,4.0,2.0,30.0,0.0
"(247, 0)",1,5.0,0.5,1.0,4.5,5.0,0.818730753078,0.367879441171,8.0,4.0,0.0,0.0
"(247, 1)",1,0.0,1.5,1.0,5.5,5.0,0.818730753078,0.301194211912,4.0,4.0,5.0,0.0
"(247, 2)",1,5.0,4.0,1.0,8.0,5.0,0.449328964117,0.201896517995,8.0,4.0,5.0,0.0
"(247, 3)",1,5.0,0.5,1.0,4.5,5.0,0.818730753078,0.367879441171,8.0,4.0,5.0,0.0
"(247, 4)",1,0.0,1.0,1.0,5.0,5.0,0.818730753078,0.367879441171,4.0,4.0,10.0,0.0
"(248, 0)",1,10.0,0.5,1.0,8.5,5.0,0.818730753078,0.165298888222,4.0,2.0,5.0,0.0
"(248, 1)",1,10.0,1.5,1.0,9.5,5.0,0.818730753078,0.135335283237,4.0,2.0,5.0,0.0
"(248, 3)",1,20.0,0.5,1.0,8.5,5.0,0.818730753078,0.165298888222,4.0,2.0,10.0,0.0
"(248, 4)",1,20.0,1.0,1.0,9.0,5.0,0.201896517995,0.165298888222,4.0,2.0,10.0,0.0
"(249, 0)",1,10.0,0.5,1.0,9.5,5.0,0.818730753078,0.135335283237,4.0,2.0,5.0,0.0
"(249, 1)",1,10.0,1.5,1.0,10.5,5.0,0.165298888222,0.110803158362,4.0,2.0,5.0,0.0
"(249, 3)",1,20.0,0.5,1.0,9.5,5.0,0.165298888222,0.135335283237,4.0,2.0,10.0,0.0
"(250, 0)",1,10.0,0.5,1.0,10.0,5.0,0.135335283237,0.135335283237,4.0,2.0,5.0,0.0
"(250, 1)",1,10.0,1.5,1.0,11.0,5.0,0.818730753078,0.110803158362,4.0,2.0,5.0,0.0
"(258, 0)",1,0.0,0.5,3.0,2.0,4.0,0.818730753078,0.670320046036,4.66666666667,4.0,0.0,0.0
"(258, 1)",1,8.0,1.5,3.0,3.0,4.0,0.670320046036,0.548811636094,3.66666666667,4.0,18.0,3.0
"(258, 2)",1,8.0,4.0,3.0,5.5,4.0,0.818730753078,0.301194211912,3.66666666667,4.0,18.0,3.0
"(258, 3)",1,5.0,0.5,3.0,2.0,4.0,0.818730753078,0.670320046036,6.0,4.0,0.0,0.0
"(258, 4)",1,13.0,1.0,3.0,2.5,4.0,0.818730753078,0.548811636094,5.0,4.0,18.0,3.0
