,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(149, 5)",20.0,3.0,0.0,3,1.0,6.5,5.0,10.0,0.135335283237,0.0
"(151, 0)",0.0,0.5,0.0,3,3.0,5.5,5.0,6.0,0.301194211912,0.0
"(151, 3)",15.0,0.5,0.0,3,4.0,5.5,5.0,6.0,0.301194211912,0.75
"(151, 4)",15.0,1.0,0.0,3,2.0,5.5,5.0,7.0,0.246596963942,0.75
"(151, 5)",0.0,3.0,0.0,3,3.0,5.5,5.0,9.0,0.165298888222,0.0
"(151, 6)",15.0,1.0,3.0,0,0.0,6.5,5.0,8.0,0.201896517995,0.0
"(152, 0)",40.0,0.5,0.0,3,4.0,6.0,5.0,7.0,0.246596963942,0.0
"(152, 4)",40.0,1.0,0.0,3,4.0,6.0,5.0,7.0,0.246596963942,0.0
"(152, 5)",20.0,3.0,4.0,0,0.0,6.0,5.0,9.0,0.165298888222,0.0
"(152, 6)",20.0,1.0,4.0,0,0.0,6.0,5.0,7.0,0.246596963942,0.0
"(153, 0)",40.0,0.5,0.0,3,4.0,7.0,5.0,8.0,0.201896517995,0.0
"(153, 3)",40.0,0.5,0.0,3,4.0,7.0,5.0,8.0,0.201896517995,0.0
"(153, 5)",20.0,3.0,4.0,0,0.0,7.0,5.0,10.0,0.135335283237,0.0
"(153, 6)",20.0,1.0,4.0,0,0.0,7.0,5.0,8.0,0.201896517995,0.0
"(155, 1)",30.0,1.5,0.0,3,3.0,5.0,5.0,7.0,0.246596963942,0.0
"(155, 4)",30.0,1.0,0.0,3,3.0,5.0,5.0,6.0,0.301194211912,0.0
"(155, 5)",15.0,3.0,3.0,0,0.0,5.0,5.0,8.0,0.201896517995,0.0
"(155, 6)",15.0,1.0,3.0,0,0.0,5.0,5.0,6.0,0.301194211912,0.0
"(157, 0)",5.0,0.5,0.0,3,1.0,5.0,5.0,6.0,0.301194211912,0.75
"(157, 1)",0.0,1.5,1.0,0,0.0,5.0,5.0,7.0,0.246596963942,0.0
"(157, 2)",5.0,4.0,0.0,3,1.0,5.0,5.0,9.0,0.165298888222,0.75
"(157, 3)",5.0,0.5,0.0,3,1.0,5.0,5.0,6.0,0.301194211912,0.75
"(158, 0)",7.5,0.5,0.0,3,3.0,4.5,5.0,5.0,0.367879441171,0.75
"(158, 2)",7.5,4.0,0.0,3,3.0,4.5,5.0,9.0,0.165298888222,0.75
"(158, 4)",7.5,1.0,3.0,0,0.0,4.5,5.0,6.0,0.301194211912,0.75
