Unnamed: 0,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1,Qval
"(3865, 1)",1,0.0,1.0,3.0,12.0,5.0,0.110803158362,0.0907179532894,4.0,4.0,0.0,0.0,22.282073464299998
"(3865, 2)",1,0.0,3.0,3.0,14.0,5.0,0.110803158362,0.0608100626252,4.0,4.0,0.0,0.0,14.9361205104
"(3865, 4)",1,0.0,1.0,3.0,12.0,5.0,0.818730753078,0.0907179532894,4.0,4.0,0.0,0.0,22.282073464299998
"(3865, 7)",1,0.0,4.0,3.0,15.0,5.0,0.818730753078,0.0497870683679,3.0,4.0,0.0,0.0,12.228661193499999
"(3865, 10)",1,30.0,1.0,3.0,12.0,5.0,0.110803158362,0.0907179532894,6.33333333333,4.0,15.0,0.0,27.215385986799998
"(3865, 11)",1,30.0,1.0,3.0,12.0,5.0,0.818730753078,0.0907179532894,6.33333333333,4.0,15.0,3.0,27.215385986799998
"(3865, 13)",1,30.0,0.5,3.0,11.5,5.0,0.818730753078,0.0907179532894,6.33333333333,4.0,15.0,0.0,27.215385986799998
"(3872, 1)",1,0.0,1.0,3.0,16.0,5.0,0.818730753078,0.0407622039784,4.0,2.0,0.0,0.0,10.011980988099999
"(3872, 2)",1,0.0,3.0,3.0,18.0,5.0,0.0497870683679,0.0273237224473,4.0,2.0,0.0,0.0,6.7112315568499996
"(3872, 4)",1,0.0,1.0,3.0,16.0,5.0,0.818730753078,0.0407622039784,4.0,2.0,0.0,0.0,10.011980988099999
"(3872, 10)",1,30.0,1.0,3.0,16.0,5.0,0.818730753078,0.0407622039784,4.0,2.0,15.0,0.0,12.228661193499999
"(3872, 11)",1,30.0,1.0,3.0,16.0,5.0,0.0497870683679,0.0407622039784,4.0,2.0,15.0,3.0,12.228661193499999
"(3872, 13)",1,30.0,0.5,3.0,15.5,5.0,0.818730753078,0.0407622039784,4.0,2.0,15.0,0.0,12.228661193499999
"(3872, 14)",1,30.0,1.0,3.0,16.0,5.0,0.0497870683679,0.0407622039784,4.0,2.0,15.0,0.0,12.228661193499999
"(3885, 1)",1,0.0,1.0,3.0,13.0,5.0,0.818730753078,0.0742735782143,4.0,4.0,0.0,0.0,18.243018787600001
"(3885, 2)",1,0.0,3.0,3.0,15.0,5.0,0.818730753078,0.0497870683679,4.0,4.0,0.0,0.0,12.228661193499999
"(3885, 7)",1,0.0,4.0,3.0,16.0,5.0,0.818730753078,0.0407622039784,3.0,4.0,0.0,0.0,10.011980988099999
